1,증오의 여왕,Hate Queen,100001,10,10,1,1.000,500,10,0.20,1.50,300001 ,300025 ,300026 ,0,0,0,900136,-
2,지옥의 군주,Hell Lord,100002,10,10,1,1.000,500,10,0.20,1.50,300002 ,300027 ,300029 ,0,0,0,900137,-
3,프로스트 리치,Frost Lich,100003,10,10,1,1.000,500,10,0.20,1.50,300003 ,300030 ,300032 ,0,0,0,900138,-
4,오크거너,OrkGunner,100004,2,1,1,1.000,0,0,0.20,1.50,300011 ,300034 ,0 ,330001,330011,3,900139,-
5,오크전사,OrkWarrior,100005,2,1,1,1.000,0,0,0.20,1.50,300019 ,300036 ,0 ,330001,330013,3,900140,-
6,사이클롭스,Cyclops,100006,4,1,1,1.000,0,0,0.20,1.50,300004 ,300037 ,0 ,330001,330013,7,900141,-
7,고블린,Goblin,100007,1,1,1,1.000,0,0,0.20,1.50,300015 ,300038 ,0 ,330002,330011,1,900142,-
8,놀전사,NolWarrior,100008,1,1,1,1.000,0,0,0.20,1.50,300004 ,300039 ,0 ,330002,330013,1,900143,-
9,트롤주술사,TrollShamen,100009,4,1,1,1.000,0,0,0.20,1.50,300016 ,300040 ,0 ,330002,330015,7,900144,-
10,스파크몬,Sparkmon,100010,1,1,1,1.000,0,0,0.20,1.50,300012 ,300041 ,0 ,330003,330015,1,900145,-
11,살라맨더,Salamander,100011,3,1,1,1.000,0,0,0.20,1.50,300005 ,300042 ,0 ,330003,330011,5,900146,-
12,라바골렘,LavaGolem,100012,3,1,1,1.000,0,0,0.20,1.50,300008 ,300043 ,0 ,330003,330016,5,900147,-
13,케르베로스,Cerberos,100013,1,1,1,1.000,0,0,0.20,1.50,300006 ,300044 ,0 ,330004,330011,1,900148,-
14,발록,Balrog,100014,4,1,1,1.000,0,0,0.20,1.50,300014 ,300045 ,0 ,330004,330016,7,900149,-
15,미노타우로스,Minotaurus,100015,2,1,1,1.000,0,0,0.20,1.50,300004 ,300046 ,0 ,330004,330013,3,900150,-
16,사티로스,Satyr,100016,2,1,1,1.000,0,0,0.20,1.50,300017 ,300048 ,0 ,330004,330012,3,900151,-
17,그림리퍼,GrimReaper,100017,1,1,1,1.000,0,0,0.20,1.50,300007 ,300050 ,0 ,330005,330014,1,900152,-
18,데스나이트,DeathKnight,100018,5,1,1,1.000,0,0,0.20,1.50,300009 ,300051 ,0 ,330005,330017,10,900153,-
19,다크소울,DarkSoul,100019,3,1,1,1.000,0,0,0.20,1.50,300007 ,300055 ,0 ,330005,330014,5,900154,-
